nazwa;teryt;srodek;bb;
aleksandrowski;0401;52.8153832 18.7182522;52.9326998 18.9330665 52.6355169 18.5000348
augustowski;2001;53.842919 23.2073355;54.02566 23.5887399 53.5720674 22.6966646
bartoszycki;2801;54.2601481 20.7964826;54.4022022 21.2205542 54.023265 20.2606123
bełchatowski;1001;51.3657008 19.2352119;51.554897 19.5002957 51.181892 18.8563678
będziński;2401;50.4140948 19.1132834;50.5363898 19.4143797 50.257546 18.957706
bialski;0601;52.0331887 23.1298104;52.0618288 23.2113791 51.9964631 23.0651822
białobrzeski;1401;51.6240912 20.9786982;51.7537995 21.2433782 51.4894556 20.6442
białogardzki;3201;53.9938442 16.0579779;54.1456432 16.4569384 53.8090774 15.7191219
białostocki;2002;53.1466813 23.1468403;53.1885513 23.2471711 53.0666992 23.0649605
bielski(podlaskie);2003;52.762826 23.1381261;52.9267318 23.4025575 52.565761 22.6133657
bielski(śląskie);2402;49.9080843 19.076211;49.9588976 19.3166423 49.6528334 18.8255121
bieszczadzki;1801;49.3098139 22.6000231;49.671373 22.8940862 49.0020252 22.393872
biłgorajski;0602;50.4805711 22.7841243;50.881368 23.1866808 50.2866968 22.4028038
bocheński;1201;49.899654 20.4481946;50.143501 20.630879 49.7786239 20.2324624
bolesławiecki;0201;51.3623002 15.5803488;51.5314871 15.8582819 51.1123119 15.2061094
braniewski;2802;54.3159867 19.9612973;54.4424724 20.3938131 54.1018748 19.6194833
brodnicki;0402;53.2107481 19.5570294;53.4591413 19.7618466 53.0802368 19.0839771
brzeski(małopolskie);1202;49.9670967 20.6621498;50.2008009 20.7982995 49.7641011 20.5003547
brzeski(opolskie);1601;50.8245005 17.5095994;50.9998859 17.7635629 50.5786778 17.2065028
brzeziński;1021;51.8403972 19.7813314;51.9519824 20.0165037 51.7294475 19.6444941
brzozowski;1802;49.6905132 21.9880699;49.8358651 22.330214 49.6158828 21.8367409
buski;2601;50.4263927 20.8517485;50.6383231 21.1423371 50.2732875 20.6057215
bydgoski;0403;53.118252 18.0749923;53.2094777 18.1985436 53.0418966 17.8738706
bytowski;2201;54.1454767 17.3525512;54.4431018 17.8002834 53.8710742 16.7827421
chełmiński;0404;53.2951708 18.5054863;53.4284436 18.7403803 53.1698367 18.2770716
chełmski;0603;51.1368642 23.4784508;51.1678962 23.5593773 51.1032703 23.420034
chodzieski;3001;53.0000554 16.9526472;53.0902208 17.2982679 52.8160541 16.7319641
chojnicki;2202;53.7745398 17.7291612;54.0313038 18.140249 53.5701428 17.2952948
choszczeński;3202;53.1388994 15.6496799;53.3444871 16.0358562 52.9421881 15.2059518
chrzanowski;1203;50.0967994 19.4651009;50.2291302 19.6290677 50.0081176 19.2568134
ciechanowski;1402;52.8568747 20.5532;53.1047682 20.9405632 52.69954 20.2114103
cieszyński;2403;49.7374201 18.8311872;49.938136 19.0173783 49.5144259 18.5656841
czarnkowsko-trzcianecki;3002;52.9079232 16.3653689;53.1319172 16.7999801 52.7248189 15.8933749
częstochowski;2404;50.798905 19.1267894;50.889333 19.2351065 50.7293083 19.0104358
człuchowski;2203;53.7680573 17.1749252;54.011309 17.52072 53.4906718 16.8576631
