101716;220103;Gminne Centrum Kultury i Biblioteka|w Czarnej Dąbrówce|ul.Bytowska 10 |77-116 Czarna Dąbrówka;54.3562129 17.5647322;54.353396 17.5626;ROOFTOP;Bytowska 10A, 77-116 Czarna Dąbrówka, Poland;street_address/
101717;220103;Wiejski Dom Kultury|Jasień| 6 |77-122 Jasień;52.7498033 19.3963696;52.126489 16.705956;ROOFTOP;Jasień 6, 64-020 Jasień, Poland;street_address/
101718;220103;Budynek byłej Szkoły Podstawowej|Mikorowo| 15/2 |76-243 Mikorowo;54.4155101 17.5780072;54.413255 17.580627;ROOFTOP;Mikorowo 2, 77-116 Mikorowo, Poland;street_address/
101719;220103;Zespół Szkół w Rokitach|Rokity| 34 |77-123 Rokity;52.4079251 16.8388638;54.340005 17.689545;ROOFTOP;Rokity 34, 77-116 Rokity, Poland;street_address/
101720;220103;Zespół Szkół w Nożynie|Nożyno| 40 |77-115 Nożyno;54.3126278 17.5154696;54.315109 17.4933729;ROOFTOP;Nożyno 40, 77-115 Nożyno, Poland;street_address/
101721;220104;Urząd Gminy|Kołczygłowy|ul. Słupska 56 |77-140 Kołczygłowy;54.2303728 17.2347226;54.24192 17.222306;ROOFTOP;Słupska 56, 77-140 Kołczygłowy, Poland;street_address/
101722;220104;Gminny Ośrodek Kultury|Kołczygłowy|ul. Szkolna 1 |77-140 Kołczygłowy;54.2303728 17.2347226;54.240603 17.2267538;ROOFTOP;Szkolna 1, 77-140 Kołczygłowy, Poland;street_address/
101723;220104;Budynek Szkoły w Gałęźni Wielkiej|Gałąźnia Wielka| 27 |77-140 Kołczygłowy;54.2303728 17.2347226;54.3024782 17.3172979;ROOFTOP;Gałąźnia Wielka 27, 77-140 Gałąźnia Wielka, Poland;street_address/
101724;220104;Zespoł Szkół w Łubnie|Łubno| 22 |77-140 Kołczygłowy;54.2303728 17.2347226;54.153678 17.226178;ROOFTOP;Łubno 22, 77-140 Łubno, Poland;street_address/
101725;220105;Zespół Szkół|Borowy Młyn|ul.Kaszubska 1 |77-138 Borowy Młyn;53.9598633 17.345149;53.965299 17.3156682;ROOFTOP;Kaszubska 1, 77-138 Borowy Młyn, Poland;street_address/
101726;220105;Budynek byłej szkoły|Borzyszkowy| 4 |77-130 Lipnica;53.9787852 17.4158735;54.032277 17.374342;ROOFTOP;Borzyszkowy 4, 77-130 Borzyszkowy, Poland;street_address/
101727;220105;Zespół Szkół|Brzeźno Szlacheckie|Jana Pawła II 79 |77-139 Brzeźno Szlacheckie;54.0205409 17.244759;54.0203132 17.2455072;RANGE_INTERPOLATED;Jana Pawła II 79, Poland;street_address/
101728;220105;Zespół Szkół|Lipnica|ul. Szkolna 2 |77-130 Lipnica;53.9787852 17.4158735;53.9954668 17.40555;ROOFTOP;Szkolna 2, 77-130 Lipnica, Poland;street_address/
101729;220105;Szkoła Podstawowa|Zapceń| 6 |77-130 Lipnica;53.9787852 17.4158735;53.9906283 17.4759926;ROOFTOP;Zapceń 6, 77-130 Zapceń, Poland;street_address/
101730;220106;Sanus S.C w Miastku|Miastko|Osiedle Ceglane 1 |77-200 Miastko;54.0026 16.98265;54.0105749 16.9797694;ROOFTOP;osiedle Ceglane 1, 77-200 Miastko, Poland;street_address/
