nazwa;typ;gmina;powiat;woj;teryt
Akwizgran;wieś;Strawczyn;kielecki;świętokrzyskie;273608
Albertowsko;wieś;Grodzisk Wielkopolski;grodziski;wielkopolskie;583875
Albertów;wieś;Puchaczów;łęczyński;lubelskie;389699
Albertów;wieś;Lutomiersk;pabianicki;łódzkie;705574
Albertów;wieś;Lubochnia;tomaszowski;łódzkie;544438
Albertów;wieś;Rokiciny;tomaszowski;łódzkie;550031
Albertów;wieś;Lipie;kłobucki;śląskie;137785
Albertów;wieś;Turek;turecki;wielkopolskie;298206
Albigowa;wieś;Łańcut;łańcucki;podkarpackie;654635
Albinów;wieś;Głowno;zgierski;łódzkie;413498
Albinów;wieś;Kotuń;siedlecki;mazowieckie;676559
Albinów;wieś;Kosów Lacki;sokołowski;mazowieckie;675873
Albinów Duży;wieś;Goraj;biłgorajski;lubelskie;887641
Albinów Mały;wieś;Goraj;biłgorajski;lubelskie;887658
Aleksandria;wieś;Ozorków;zgierski;łódzkie;414285
Aleksandria;wieś;Nowe Miasto;płoński;mazowieckie;120709
Aleksandria;wieś;Puszcza Mariańska;żyrardowski;mazowieckie;734601
Aleksandria;wieś;Konopiska;częstochowski;śląskie;135208
Aleksandria;wieś;Brzeziny;kaliski;wielkopolskie;194843
Aleksandria Krzywowolska;wieś;Rejowiec;chełmski;lubelskie;105420
Aleksandria Niedziałowska;wieś;Rejowiec;chełmski;lubelskie;105443
Aleksandrowice;wieś;Wińsko;wołowski;dolnośląskie;882425
Aleksandrowice;wieś;Zabierzów;krakowski;małopolskie;343504
Aleksandrowo;wieś;Dobrcz;bydgoski;kujawsko-pomorskie;84333
Aleksandrowo;wieś;Brześć Kujawski;włocławski;kujawsko-pomorskie;859076
Aleksandrowo;wieś;Barcin;żniński;kujawsko-pomorskie;79289
Aleksandrowo;wieś;Lelis;ostrołęcki;mazowieckie;512881
Aleksandrowo;wieś;Troszyn;ostrołęcki;mazowieckie;521992
Aleksandrowo;wieś;Staroźreby;płocki;mazowieckie;576415
Aleksandrowo;wieś;Krasnopol;sejneński;podlaskie;760662
Aleksandrowo;wieś;Grodzisk;siemiatycki;podlaskie;28435
Aleksandrowo;wieś;Bakałarzewo;suwalski;podlaskie;753225
Aleksandrowo;wieś;Wapno;wągrowiecki;wielkopolskie;531571
Aleksandrów;wieś;Aleksandrów;biłgorajski;lubelskie;885470
Aleksandrów;wieś;Gościeradów;kraśnicki;lubelskie;791970
Aleksandrów;wieś;Łuków;łukowski;lubelskie;679322
Aleksandrów;wieś;Stanin;łukowski;lubelskie;689177
Aleksandrów;wieś;Kleszczów;bełchatowski;łódzkie;541380
Aleksandrów;wieś;Rusiec;bełchatowski;łódzkie;711468
Aleksandrów;wieś;Strzelce;kutnowski;łódzkie;577194
Aleksandrów;wieś;Żychlin;kutnowski;łódzkie;580090
Aleksandrów;wieś;Aleksandrów;piotrkowski;łódzkie;534368
Aleksandrów;wieś;Kamieńsk;radomszczański;łódzkie;541078
Aleksandrów;wieś;Biała Rawska;rawski;łódzkie;723247
Aleksandrów;wieś;Ujazd;tomaszowski;łódzkie;554448
Aleksandrów;wieś;Wyśmierzyce;białobrzeski;mazowieckie;642106
Aleksandrów;wieś;Łaskarzew;garwoliński;mazowieckie;678274
Aleksandrów;wieś;Sanniki;gostyniński;mazowieckie;574391
Aleksandrów;wieś;Pniewy;grójecki;mazowieckie;631290
Aleksandrów;wieś;Magnuszew;kozienicki;mazowieckie;628537
Aleksandrów;wieś;Nieporęt;legionowski;mazowieckie;5569
Aleksandrów;wieś;Sienno;lipski;mazowieckie;636235
Aleksandrów;wieś;Jakubów;miński;mazowieckie;673466
Aleksandrów;wieś;Czosnów;nowodworski;mazowieckie;1123
Aleksandrów;wieś;Góra Kalwaria;piaseczyński;mazowieckie;1502
Aleksandrów;wieś;Jedlnia-Letnisko;radomski;mazowieckie;625332
Aleksandrów;wieś;Iłów;sochaczewski;mazowieckie;566003
Aleksandrów;wieś;Rybno;sochaczewski;mazowieckie;736505
Aleksandrów;wieś;Chlewiska;szydłowiecki;mazowieckie;615701
Aleksandrów;wieś;Wiskitki;żyrardowski;mazowieckie;739202
Aleksandrów;wieś;Praszka;oleski;opolskie;143260
Aleksandrów;wieś;Koniecpol;częstochowski;śląskie;134806
Aleksandrów;wieś;Panki;kłobucki;śląskie;141640
Aleksandrów;wieś;Sędziszów;jędrzejowski;świętokrzyskie;266778
Aleksandrów;wieś;Pińczów;pińczowski;świętokrzyskie;262600
Aleksandrów;wieś;Mycielin;kaliski;wielkopolskie;204116
Aleksandrów;wieś;Chodów;kolski;wielkopolskie;281789
Aleksandrów;wieś;Przykona;turecki;wielkopolskie;292480
Aleksandrów Duży;wieś;Sienno;lipski;mazowieckie;636241
Aleksandrów k. Wąsosza;wieś;Koniecpol;częstochowski;śląskie;135102
Aleksandrów Kujawski;miasto;Aleksandrów Kujawski m;aleksandrowski;kujawsko-pomorskie;985384
Aleksandrów Łódzki;miasto;Aleksandrów Łódzki;zgierski;łódzkie;958654
Aleksandrówek;wieś;Łask;łaski;łódzkie;706852
Aleksandrówek;wieś;Grabów;łęczycki;łódzkie;284517
Aleksandrówek;wieś;Poddębice;poddębicki;łódzkie;711422
Aleksandrówek;wieś;Grodziec;koniński;wielkopolskie;284664
Aleksandrówka;wieś;Drelów;bialski;lubelskie;11593
Aleksandrówka;wieś;Batorz;janowski;lubelskie;787916
Aleksandrówka;wieś;Michów;lubartowski;lubelskie;385974
Aleksandrówka;wieś;Stoczek Łukowski;łukowski;lubelskie;691234
Aleksandrówka;wieś;Żychlin;kutnowski;łódzkie;580109
Aleksandrówka;wieś;Dalików;poddębicki;łódzkie;702392
Aleksandrówka;wieś;Belsk Duży;grójecki;mazowieckie;613955
Aleksandrówka;wieś;Kozienice;kozienicki;mazowieckie;627302
Aleksandrówka;wieś;Dębe Wielkie;miński;mazowieckie;669890
Aleksandrówka;wieś;Grębków;węgrowski;mazowieckie;671970
Aleksandrówka;wieś;Policzna;zwoleński;mazowieckie;631746
Aleksandrówka;wieś;Szypliszki;suwalski;podlaskie;770028
Aleksandrówka;wieś;Przyrów;częstochowski;śląskie;143490
Aleksandrówka;wieś;Koło;kolski;wielkopolskie;287303
Aleksandrynów;wieś;Gostynin;gostyniński;mazowieckie;564091
Aleksicze;wieś;Zabłudów;białostocki;podlaskie;44428
Aleksiejówka;wieś;Giby;sejneński;podlaskie;757312
Alfonsowo;wieś;Jasieniec;grójecki;mazowieckie;623570
Alfonsów;wieś;Wodzierady;łaski;łódzkie;719027
Alfonsów;wieś;Paradyż;opoczyński;łódzkie;547780
Alfonsów;wieś;Zadzim;poddębicki;łódzkie;720763
Alfonsów;wieś;Słubice;płocki;mazowieckie;575290
Alfredówka;wieś;Nowa Dęba;tarnobrzeski;podkarpackie;800090
Alinowo;wieś;Kleczew;koniński;wielkopolskie;286195
Alojzów;wieś;Leśniowice;chełmski;lubelskie;104751
Alojzów;wieś;Werbkowice;hrubieszowski;lubelskie;904799
Alojzów;wieś;Iłża;radomski;mazowieckie;622546
Altana;wieś;Dobre;radziejowski;kujawsko-pomorskie;861995
Altanka;wieś;Sochaczew;sochaczewski;mazowieckie;738088
Alwernia;miasto;Alwernia;chrzanowski;małopolskie;314454
Amandów;wieś;Pietrowice Wielkie;raciborski;śląskie;218816
Ambrożew;wieś;Góra Świętej Małgorzaty;łęczycki;łódzkie;565481
Ambrożów;wieś;Pawłów;starachowicki;świętokrzyskie;259850
Amelin;wieś;Kamionka;lubartowski;lubelskie;382421
Amelin;wieś;Siemień;parczewski;lubelskie;19175
Amelin;wieś;Radomsko;radomszczański;łódzkie;549447
Amelin;wieś;Krasnosielc;makowski;mazowieckie;511657
Ameryka;wieś;Mircze;hrubieszowski;lubelskie;894960
Anastazew;wieś;Parzęczew;zgierski;łódzkie;415008
Anastazew;wieś;Zabrodzie;wyszkowski;mazowieckie;523471
Anastazewo;wieś;Powidz;słupecki;wielkopolskie;300423
Anastazów;wieś;Bełchatów;bełchatowski;łódzkie;535190
Anatolin;wieś;Pacyna;gostyniński;mazowieckie;572707
